Профиль №1  с 01.04.2022 по 27.04.2022
Счетчик № 0816190453
Сохранен 27.04.2022 5:46:03

Дата	Время	A+, кВт	A-, кВт	R+, квар	R-, квар	Статус
01.04.2022	00:00-01:00	000,0351	000,0000	000,0186	000,0000	
01.04.2022	01:00-02:00	000,0353	000,0000	000,0189	000,0000	
01.04.2022	02:00-03:00	000,0362	000,0000	000,0194	000,0000	
01.04.2022	03:00-04:00	000,0381	000,0000	000,0193	000,0000	
01.04.2022	04:00-05:00	000,0531	000,0000	000,0259	000,0000	
01.04.2022	05:00-06:00	000,0403	000,0000	000,0218	000,0000	
01.04.2022	06:00-07:00	000,0372	000,0000	000,0201	000,0000	
01.04.2022	07:00-08:00	000,0384	000,0000	000,0193	000,0000	
01.04.2022	08:00-09:00	000,0590	000,0000	000,0285	000,0000	
01.04.2022	09:00-10:00	000,0543	000,0000	000,0275	000,0000	
01.04.2022	10:00-11:00	000,0502	000,0000	000,0272	000,0000	
01.04.2022	11:00-12:00	000,0395	000,0000	000,0202	000,0000	
01.04.2022	12:00-13:00	000,0360	000,0000	000,0181	000,0000	
01.04.2022	13:00-14:00	000,0361	000,0000	000,0189	000,0000	
01.04.2022	14:00-15:00	000,0305	000,0000	000,0182	000,0000	
01.04.2022	15:00-16:00	000,0265	000,0000	000,0162	000,0000	
01.04.2022	16:00-17:00	000,0294	000,0000	000,0179	000,0000	
01.04.2022	17:00-18:00	000,0303	000,0000	000,0194	000,0000	
01.04.2022	18:00-19:00	000,0317	000,0000	000,0177	000,0000	
01.04.2022	19:00-20:00	000,0323	000,0000	000,0198	000,0000	
01.04.2022	20:00-21:00	000,0380	000,0000	000,0204	000,0000	
01.04.2022	21:00-22:00	000,0391	000,0000	000,0212	000,0000	
01.04.2022	22:00-23:00	000,0368	000,0000	000,0205	000,0000	
01.04.2022	23:00-24:00	000,0299	000,0000	000,0179	000,0000	
02.04.2022	00:00-01:00	000,0296	000,0000	000,0197	000,0000	
02.04.2022	01:00-02:00	000,0292	000,0000	000,0184	000,0000	
02.04.2022	02:00-03:00	000,0305	000,0000	000,0185	000,0000	
02.04.2022	03:00-04:00	000,0337	000,0000	000,0182	000,0000	
02.04.2022	04:00-05:00	000,0367	000,0000	000,0192	000,0000	
02.04.2022	05:00-06:00	000,0368	000,0000	000,0174	000,0000	
02.04.2022	06:00-07:00	000,0327	000,0000	000,0177	000,0000	
02.04.2022	07:00-08:00	000,0471	000,0000	000,0220	000,0000	
02.04.2022	08:00-09:00	000,0439	000,0000	000,0219	000,0000	
02.04.2022	09:00-10:00	000,0529	000,0000	000,0239	000,0000	
02.04.2022	10:00-11:00	000,0620	000,0000	000,0262	000,0000	
02.04.2022	11:00-12:00	000,0270	000,0000	000,0165	000,0000	
02.04.2022	12:00-13:00	000,0666	000,0000	000,0287	000,0000	
